DESCRIPTION,CATEGORY
"Амортизатор (Газо-масл) Задней подвески автомобиля УАЗ-315295, 31514, 3153, 3159, 3160, 3162, 3163, 2360, 3741, 3962, 3303, 2206, 3909, 33036,  ""ХАНТЕР"" (Аналог 315195-2915006, 3159-2915006, 3151-2915006-11, 381.2915402) (350мм/560 мм) (AM-020-2915006) 315195-2915006 АВТОМАГНАТ",Автозапчасти и сервис авто
"Разъем 1/02503/80 межжгутовой 6-ти контактный гнездовой серии 6.3, с проводами 1,0 мм кв.",Продукты питания и напитки
5366752Д Подвеска (Ag 925),Ювелирные изделия и аксессуары
ВЫП.ЧЕБУРЕК С ДЖУСАЕМ И ЖИРОМ 80 ГР,Прочие товары
Семена пшеницы мягкой Старт-2 репродукция,Продукты питания и напитки
"Серьги ""Красное сердце"" ",Ювелирные изделия и аксессуары
Эстакада для легковых автомашин б/у,Автозапчасти и сервис авто
Услуги по организация мероприятий за октябрь 2022г.,Прочие услуги
"Эмаль ""Atlas"" для окон и дверей ""Радуга-115"" полуглянцевая акриловая К-499 0,9 л",Строительные материалы и отделка
Какао вес,Продукты питания и напитки
Порошок Выгодная стирка 350гр,Бытовая химия и хозтовары
"ФИЛЬТР ОЧИСТКИ МАСЛА КЛАСС ""ОРИГИНАЛ""NF1004-02",Автозапчасти и сервис авто
"Размещение наружной рекламы на Ситибордах,  Алматы,  Март 2023, Arena Park",Рекламные и маркетинговые услуги
Аренда автомобиля ГАЗ 53 Б за апрель 2024 года,Аренда оборудования и прочая аренда
MCSU8534924 (Хранение порожнего контейнера в обычной зоне 40ф),Транспортно-логистические услуги
PRGU9225463 (Хранение порожнего контейнера в обычной зоне 40ф),Транспортно-логистические услуги
ЙОГУРТ ФРУТТИС 115ГР 8% ВИШ ПЛОМБ/ГРУШ-ВАН,Продукты питания и напитки
"ЧАЙ FUSE TEA ПЕРСИК 0,5Л",Продукты питания и напитки
Изгоровление табличек для слепых 30х10см,Лекарства
Услуга связи за апрель 2025 г.,Прочие услуги
"Поводок для собак нейлоновый WAUDOG Nylon, рисунок ""Инди"", регулируемый, Ш 15 мм, Дл 152-183 см",Зоотовары
Бык ч/п KZP 159570108,Прочие товары
Заправка Шахман,Продукты питания и напитки
"Краска моющаяся ""Радуга-210"" акриловая J-021 24 кг",Строительные материалы и отделка
Печенье ОRЕО 228г с какао и кремовой начинкой клубничного вкуса,Продукты питания и напитки
Перец  Дунганский,Продукты питания и напитки
Услуги автобетононасоса 52м,Строительные материалы и отделка
"566306 КМС Мыло-мусс для душа папайя и гуава, 110 мл.",Бытовая химия и хозтовары
Презервативы Gardex Classic №3 Классические гладкие (INNOLATEX SDN BHD/Малайзия),Медицинские изделия и расходники
"Вазелин косметический детский ""Смягчение и защита"" с экстр.ромашки 10г",Лекарства
МАКАРОНЫ GRANORO 500гр PENNE RIGATE №26,Продукты питания и напитки
"Кумысный напиток ""Balqymyz""белый,1л",Продукты питания и напитки
Сальник коренной Nexia,Автозапчасти и сервис авто
H44329 Носки дет. спорт.,Одежда и текстиль
АНТИСТАТИК ЛИРА 200СМ3 НЕЙТР ЗАПАХ,Лекарства
"ВОДКА ХАОМА ОРИГИНАЛЬНАЯ НА МИН.ВОДЕ ЗЕРЕНДА 0,7Л",Продукты питания и напитки
Ремень поликлиновый MD 6PK1281,Автозапчасти и сервис авто
Крылышки куриные от Беккера в/к упаковка,Продукты питания и напитки
Компрессор 9 л.,Оборудование и инструмент
Хранение пшеница мягкая Белозерная4 класс  2024г.,Продукты питания и напитки
ЛИМОНАД РОСА 1Л МОХИТО,Продукты питания и напитки
"Размещение наружной рекламы на ""Ситилайт Decaux MUPI"",  1,19*1,75,  Алматы,  Декабрь 2022",Рекламные и маркетинговые услуги
"Изготовление печати, монтаж банера на строй ограждение Headliner Exclusive -2",Прочие услуги
КРУПА МАКФА ПЕРЛОВАЯ В ПАКЕТИКАХ 400ГР,Продукты питания и напитки
генератор 14в80а (9422.3701000),Оборудование и инструмент
"ПАТРУБКИ ПЕЧКИ ГАЗ-3302 ""БИЗНЕС"" ДВ. УМЗ (ОТВОД.,ПОДВОД.)  (К-Т  ИЗ 2-Х ) СИЛИКОН АРМИР.",Автозапчасти и сервис авто
"ТРУБКА ОТ ОТСТОЙНИКА К ШЛАНГУ БЕНЗОНАСОСА ДВ.40524 ГАЗ-3321,3302 ЕВРО-3",Автозапчасти и сервис авто
МЫЛО БАННОЕ 140ГР,Бытовая химия и хозтовары
HP6453 Бутсы взр.,Обувь и средства индивидуальной защиты (СИЗ)
"3RT2023-1AN24 / 3RT2023-1AN24 / КОНТАКТОР, 3 ПОЛ., AC-3, 4КВТ/400В, БЛОК-КОНТАКТЫ 2НО+2НЗ, AC 220V 5",Прочие товары
Услуги страхового агента - 700тг,Прочие услуги
"Називин Сенситив, спрей  наз. во флак.22,5мкг/доза 10мл (Merck KGaA/ГЕРМАНИЯ)",Лекарства
ЗУБНАЯ ПАСТА GOLGATE БЕЗОПАСНОЕ ОТБЕЛИВАНИЕ 75МЛ,Продукты питания и напитки
"Лампа типа КГ (для ССО) 65 вт 6,6А",Прочие товары
ТАБЛЕТКИ Д/ПОСУД МАШИН SOMAT 65ШТ ALL IN 1,Лекарства
"862207 ECL GREEN Гель для тела Питание & Увлажнение Серия ORGANIC ALOE VERA & Snail Mucin, 250 мл",Лекарства
FT6291 Худи жен.,Одежда и текстиль
МУКА АКСАРАЙ 3кг ВЫСШИЙ СОРТ ВЕДРО,Продукты питания и напитки
Сопровождение по санаторно-курортному лечению 1 чел.14 днй (70%) Ермаханова Саяжан Мейржановна ,Прочие услуги
"ПК306-01, КОМПРЕССОР",Оборудование и инструмент
Уплотнение 700А.84.00.267-1 ТР-727 1.3 кг 2.43м,Прочие товары
